step,context,target_word,surprisal
62000,BOS_ONLY,test,11.965950965881348
63000,BOS_ONLY,this,12.612908363342285
63000,BOS_ONLY,test,11.423981666564941
64000,BOS_ONLY,this,13.633426666259766
64000,BOS_ONLY,test,11.062103271484375
65000,BOS_ONLY,this,13.677989959716797
65000,BOS_ONLY,test,9.693550109863281
66000,BOS_ONLY,this,13.566033363342285
66000,BOS_ONLY,test,9.42705249786377
67000,BOS_ONLY,this,13.925888061523438
67000,BOS_ONLY,test,9.631570816040039
68000,BOS_ONLY,this,12.930204391479492
68000,BOS_ONLY,test,9.519882202148438
69000,BOS_ONLY,this,13.374343872070312
69000,BOS_ONLY,test,10.836238861083984
70000,BOS_ONLY,this,13.276050567626953
70000,BOS_ONLY,test,10.402153015136719
71000,BOS_ONLY,this,13.930153846740723
71000,BOS_ONLY,test,9.915921211242676
72000,BOS_ONLY,this,12.33896255493164
72000,BOS_ONLY,test,10.099506378173828
73000,BOS_ONLY,this,13.021271705627441
73000,BOS_ONLY,test,10.56834888458252
74000,BOS_ONLY,this,13.13099479675293
74000,BOS_ONLY,test,12.323156356811523
75000,BOS_ONLY,this,13.899742126464844
75000,BOS_ONLY,test,11.76547622680664
76000,BOS_ONLY,this,13.806729316711426
76000,BOS_ONLY,test,10.316411018371582
77000,BOS_ONLY,this,14.170265197753906
77000,BOS_ONLY,test,11.136558532714844
78000,BOS_ONLY,this,13.705927848815918
78000,BOS_ONLY,test,11.38086223602295
79000,BOS_ONLY,this,13.432382583618164
79000,BOS_ONLY,test,12.08885383605957
80000,BOS_ONLY,this,12.622603416442871
80000,BOS_ONLY,test,10.815985679626465
81000,BOS_ONLY,this,14.409740447998047
81000,BOS_ONLY,test,11.53884506225586
82000,BOS_ONLY,this,13.844321250915527
82000,BOS_ONLY,test,11.590521812438965
83000,BOS_ONLY,this,15.049894332885742
83000,BOS_ONLY,test,12.045042037963867
84000,BOS_ONLY,this,13.793495178222656
84000,BOS_ONLY,test,12.284965515136719
85000,BOS_ONLY,this,14.07147216796875
85000,BOS_ONLY,test,11.660614013671875
86000,BOS_ONLY,this,15.337113380432129
86000,BOS_ONLY,test,12.699097633361816
87000,BOS_ONLY,this,19.004243850708008
87000,BOS_ONLY,test,15.39659309387207
88000,BOS_ONLY,this,15.610422134399414
88000,BOS_ONLY,test,15.237512588500977
89000,BOS_ONLY,this,15.197977066040039
89000,BOS_ONLY,test,13.258035659790039
90000,BOS_ONLY,this,15.346003532409668
90000,BOS_ONLY,test,13.480982780456543
91000,BOS_ONLY,this,15.159486770629883
91000,BOS_ONLY,test,11.915803909301758
92000,BOS_ONLY,this,14.511402130126953
92000,BOS_ONLY,test,12.020801544189453
93000,BOS_ONLY,this,15.259305953979492
93000,BOS_ONLY,test,12.187192916870117
94000,BOS_ONLY,this,15.02393627166748
94000,BOS_ONLY,test,11.631266593933105
95000,BOS_ONLY,this,14.426971435546875
95000,BOS_ONLY,test,12.061614990234375
96000,BOS_ONLY,this,15.650635719299316
96000,BOS_ONLY,test,13.033020973205566
97000,BOS_ONLY,this,17.011146545410156
97000,BOS_ONLY,test,13.858253479003906
98000,BOS_ONLY,this,18.23809051513672
98000,BOS_ONLY,test,15.282157897949219
99000,BOS_ONLY,this,15.62307357788086
99000,BOS_ONLY,test,12.80947494506836
100000,BOS_ONLY,this,15.796217918395996
100000,BOS_ONLY,test,13.116652488708496
101000,BOS_ONLY,this,16.732051849365234
101000,BOS_ONLY,test,12.840633392333984
102000,BOS_ONLY,this,16.003597259521484
102000,BOS_ONLY,test,11.804255485534668
103000,BOS_ONLY,this,16.789880752563477
103000,BOS_ONLY,test,12.469752311706543
104000,BOS_ONLY,this,16.626646041870117
104000,BOS_ONLY,test,12.97521686553955
105000,BOS_ONLY,this,15.597527503967285
105000,BOS_ONLY,test,11.533257484436035
106000,BOS_ONLY,this,17.598108291625977
106000,BOS_ONLY,test,13.05141544342041
107000,BOS_ONLY,this,15.650009155273438
107000,BOS_ONLY,test,11.299484252929688
108000,BOS_ONLY,this,20.66058921813965
108000,BOS_ONLY,test,14.234808921813965
109000,BOS_ONLY,this,19.438661575317383
109000,BOS_ONLY,test,12.128602981567383
110000,BOS_ONLY,this,16.481159210205078
110000,BOS_ONLY,test,10.484456062316895
111000,BOS_ONLY,this,16.1988582611084
111000,BOS_ONLY,test,11.415594100952148
112000,BOS_ONLY,this,16.017118453979492
112000,BOS_ONLY,test,12.017971992492676
113000,BOS_ONLY,this,16.27661895751953
113000,BOS_ONLY,test,11.209114074707031
114000,BOS_ONLY,this,17.55529022216797
114000,BOS_ONLY,test,12.116509437561035
115000,BOS_ONLY,this,16.25852394104004
