step,target_word,count,mean,std,min,25%,50%,75%,max
0,test,1.0,10.393325805664062,,10.393325805664062,10.393325805664062,10.393325805664062,10.393325805664062,10.393325805664062
0,this,1.0,11.44469928741455,,11.44469928741455,11.44469928741455,11.44469928741455,11.44469928741455,11.44469928741455
1,test,1.0,10.393325805664062,,10.393325805664062,10.393325805664062,10.393325805664062,10.393325805664062,10.393325805664062
1,this,1.0,11.44469928741455,,11.44469928741455,11.44469928741455,11.44469928741455,11.44469928741455,11.44469928741455
2,test,1.0,10.393455505371094,,10.393455505371094,10.393455505371094,10.393455505371094,10.393455505371094,10.393455505371094
2,this,1.0,11.444878578186035,,11.444878578186035,11.444878578186035,11.444878578186035,11.444878578186035,11.444878578186035
4,test,1.0,10.395500183105469,,10.395500183105469,10.395500183105469,10.395500183105469,10.395500183105469,10.395500183105469
4,this,1.0,11.448156356811523,,11.448156356811523,11.448156356811523,11.448156356811523,11.448156356811523,11.448156356811523
8,test,1.0,10.417970657348633,,10.417970657348633,10.417970657348633,10.417970657348633,10.417970657348633,10.417970657348633
8,this,1.0,11.488454818725586,,11.488454818725586,11.488454818725586,11.488454818725586,11.488454818725586,11.488454818725586
16,test,1.0,10.547200202941895,,10.547200202941895,10.547200202941895,10.547200202941895,10.547200202941895,10.547200202941895
16,this,1.0,11.621989250183105,,11.621989250183105,11.621989250183105,11.621989250183105,11.621989250183105,11.621989250183105
32,test,1.0,11.031190872192383,,11.031190872192383,11.031190872192383,11.031190872192383,11.031190872192383,11.031190872192383
32,this,1.0,11.677753448486328,,11.677753448486328,11.677753448486328,11.677753448486328,11.677753448486328,11.677753448486328
64,test,1.0,10.498517990112305,,10.498517990112305,10.498517990112305,10.498517990112305,10.498517990112305,10.498517990112305
64,this,1.0,10.997304916381836,,10.997304916381836,10.997304916381836,10.997304916381836,10.997304916381836,10.997304916381836
128,test,1.0,9.227849960327148,,9.227849960327148,9.227849960327148,9.227849960327148,9.227849960327148,9.227849960327148
